Time,Arr_time,Del_Time,Stall_Dur,Rep_Level,Del_Rate,Act_Rate,Byte_Size,Buff_Level,RTT,Width,Height,MemoryV %,CPU Load,Wi-Fi RSSI Level,P.1203 QoE
0,318,318,0,237,7735,308,308446,8,0.074,320,180,0.45,0.34,-65,1.87753
8,711,318,0,237,5629,223,223794,16,0.077,320,180,0.46,0.56,-64,1.87753
16,1082,293,0,237,5571,204,204473,23.706,0.099,320,180,0.45,0.72,-60,1.87753
24,1435,252,0,237,5365,169,169501,31.454,0.104,320,180,0.46,0.78,-60,1.87753
32,1905,366,0,237,6154,281,281896,39.087,0.066,320,180,0.46,0.93,-61,1.8846
40,2425,452,0,237,6664,377,377136,46.635,0.102,320,180,0.45,0.99,-65,1.88648
48,2858,330,0,237,7122,294,294127,54.304,0.106,320,180,0.44,0.99,-62,1.88648
56,3260,296,0,237,5820,215,215368,62.008,0.101,320,180,0.45,0.56,-65,1.89207
64,3539,178,0,237,7213,160,160539,69.83,0.175,320,180,0.45,0.56,-63,1.89207
72,3909,194,0,237,5539,134,134409,77.636,0.116,320,180,0.45,0.56,-63,1.89207
80,4192,166,0,237,7089,147,147592,85.469,0.16,320,180,0.46,0.56,-65,1.89207
88,4516,162,0,237,5427,110,110477,93.307,0.207,320,180,0.45,0.52,-61,1.89207
96,5632,909,0,237,971,110,110374,100.398,0.071,320,180,0.44,0.52,-66,1.89207
104,8607,2902,0,237,1244,451,451486,105.495,2.283,320,180,0.43,0.52,-63,1.89207
112,25090,14199,0,375,243,432,432536,99.295,1.558,384,216,0.58,0.47,-63,1.88226
120,33194,6545,0,375,468,383,383078,100.75,3.23,384,216,0.57,0.52,-64,1.88269
128,40612,4186,0,375,468,245,245075,104.564,8.247,384,216,0.58,0.42,-62,1.88217
136,58088,9227,0,375,257,296,296459,103.336,7.339,384,216,0.58,0.56,-62,1.88868
144,71225,5797,0,375,371,269,269172,105.539,6.404,384,216,0.57,0.99,-64,1.89032
152,92740,15109,0,375,319,602,602572,98.429,10.699,384,216,0.57,0.56,-61,1.89313
160,119534,16093,0,375,266,536,536654,90.335,8.301,384,216,0.58,0.78,-61,1.89473
168,138846,11010,0,237,230,317,317312,87.324,4.674,320,180,0.45,0.56,-64,1.89365
176,153108,9587,0,237,386,463,463655,85.737,4.67,320,180,0.46,0.47,-63,1.87851
184,163489,5709,0,237,383,273,273918,88.028,6.424,320,180,0.45,0.56,-63,1.87797
192,179870,9957,0,237,219,272,272905,86.07,9.562,320,180,0.45,0.34,-67,1.87758
200,194330,4896,0,237,372,228,228098,89.173,5.688,320,180,0.45,0.56,-61,1.87728
208,204979,4960,0,237,443,275,275180,92.213,8.181,320,180,0.45,0.56,-61,1.87704
216,223631,10470,0,237,143,187,187542,89.742,6.124,320,180,0.46,0.99,-65,1.87686
224,234470,4714,0,237,110,65,65011,93.028,2.896,320,180,0.46,0.99,-56,1.87671
232,250510,13143,0,237,146,241,241007,87.884,16.279,320,180,0.45,0.93,-64,1.87658
240,277792,11001,0,237,178,244,244925,84.883,5.709,320,180,0.46,0.93,-63,1.87648
248,301167,17665,0,237,233,516,516352,75.217,18.332,320,180,0.44,0.56,-63,1.87639